,Ey,Ez,Ex,U3,U4,U2,U5,U1
DC0,-0.027715497966569098,-0.07195347137097065,-0.0007851177574049919,-0.4778615806246879,0.003993122733722756,0.18045243738777847,-0.00020042341183427204,0.009043233918553143
DC1,3.008778527492888,1.5729263090127141,0.012067226547038583,14.72596049531112,0.5393505671284962,0.2695935869835435,0.03431760613999671,-0.4997744664348551
DC2,0.7149361028334891,-0.32901665653935397,-0.013658849292319164,-16.489189368803284,-0.4281625563134419,0.014558065624271747,-0.010304474821023049,-0.14008988239420894
DC3,-0.8431158559850821,1.2222003218998816,-2.1478247366447643,-15.979914231084233,0.1427217101902084,0.3845416973436288,-0.6259918498763837,0.5142430278106792
DC4,-0.005771560611757889,-0.14704945831889338,-1.5818184026934177,0.8432740194007257,-0.0040937734215662465,-0.040058742909066386,0.5165608419377492,0.41640308797889924
DC5,-1.4098902342346866,1.5189974421135866,-0.020744509487773267,14.42937580657615,-0.7214887478910135,0.2691300827772325,-0.03170995346604092,-0.4797621617019854
DC6,-2.4344648207072828,-0.3090747833273978,-0.007583517903233354,-15.738001948999706,0.631112161864862,0.021875626523125642,0.001545157312753856,-0.1365937487085785
DC7,-0.7851785736696061,1.2631705335185235,2.1520055077461375,-15.768407084529999,0.08680084762141291,0.38455017157550775,0.6234224164170317,0.49885946477485643
DC8,-0.0067990917620592145,-0.1575997251815813,1.554065866213819,0.6076902332673625,0.00021812894575050888,-0.04161400084032431,-0.5222318730427161,0.4170227645182181
